n,time,,,n,2,4,8,16,32,64,128,256,512,1024,2048
2,0.002,,,Standard,0.002,0.003,0.004,0.006,0.011,0.022,0.045,0.11,1.049,4.205,16.745
4,0.003,,,Strassen,0.009,0.005,0.006,0.009,0.013,0.029,0.054,0.106,1.081,4.11,17.151
8,0.004,,,Divide and Conquer,0.016,0.021,0.018,0.021,0.026,0.035,0.061,0.156,1.092,4.223,18.256
16,0.006,,,,,,,,,,,,,,
32,0.011,,,,,,,,,,,,,,
64,0.022,,,,,,,,,,,,,,
128,0.045,,,,,,,,,,,,,,
256,0.11,,,,,,,,,,,,,,
512,1.049,,,,,,,,,,,,,,
1024,4.205,,,,,,,,,,,,,,
2048,16.745,,,,,,,,,,,,,,
